bb_window,atr_multiplier_scale,max_hold_bars_scale,adx_window,adx_threshold,min_trending_adx,fast_ema,slow_ema,rsi_window,rsi_ob,trend_filter_window,market_sma_window,sharpe,sortino,total_return_%,max_drawdown_%,win_rate_%,trades,profit_factor
50,1.25,0.5,14,25,40,9,20,14,70,0,100,-1.044,-0.431,-1.99,-3.29,38.8,67,0.584
50,1.5,0.5,14,25,40,9,20,14,70,100,0,-1.068,-0.161,-0.56,-0.56,42.9,7,0.187
50,1.5,1.5,14,25,40,9,20,14,70,0,100,-1.1,-0.512,-2.42,-4.02,45.5,66,0.601
50,0.75,1.0,14,25,40,9,20,14,70,0,0,-1.144,-0.712,-2.75,-3.41,43.3,141,0.681
50,0.75,0.5,14,25,40,9,20,14,70,0,200,-1.145,-0.533,-2.07,-3.09,39.5,86,0.557
50,1.5,0.5,14,25,40,9,20,14,70,0,100,-1.161,-0.477,-2.29,-3.57,38.8,67,0.549
50,1.25,1.5,14,25,40,9,20,14,70,100,100,-1.212,-0.072,-0.28,-0.28,0.0,1,0.0
50,1.25,0.5,14,25,40,9,20,14,70,100,100,-1.212,-0.072,-0.28,-0.28,0.0,1,0.0
50,1.25,1.0,14,25,40,9,20,14,70,100,100,-1.212,-0.072,-0.28,-0.28,0.0,1,0.0
50,1.5,0.5,14,25,40,9,20,14,70,100,100,-1.223,-0.074,-0.28,-0.28,0.0,1,0.0
50,1.25,0.5,14,25,40,9,20,14,70,0,200,-1.27,-0.575,-2.41,-3.36,39.8,83,0.517
50,0.75,1.5,14,25,40,9,20,14,70,0,0,-1.317,-0.846,-3.2,-3.98,43.3,141,0.649
50,1.0,0.5,14,25,40,9,20,14,70,0,200,-1.341,-0.6,-2.47,-3.44,39.3,84,0.511
50,0.75,0.5,14,25,40,9,20,14,70,0,0,-1.393,-0.797,-3.08,-4.05,42.3,142,0.6
50,1.5,0.5,14,25,40,9,20,14,70,0,200,-1.408,-0.618,-2.78,-3.72,39.8,83,0.481
50,1.25,1.0,14,25,40,9,20,14,70,0,0,-1.454,-0.819,-3.83,-4.35,45.1,133,0.601
50,1.0,1.0,14,25,40,9,20,14,70,0,0,-1.491,-0.861,-3.67,-4.25,43.4,136,0.611
50,1.25,1.5,14,25,40,9,20,14,70,0,0,-1.524,-0.898,-4.16,-4.68,45.1,133,0.591
50,1.5,1.0,14,25,40,9,20,14,70,0,0,-1.604,-0.875,-4.45,-4.93,44.4,133,0.563
50,1.0,1.5,14,25,40,9,20,14,70,0,0,-1.683,-1.012,-4.22,-4.8,42.6,136,0.584
50,1.5,1.5,14,25,40,9,20,14,70,0,0,-1.685,-0.973,-4.84,-5.31,45.1,133,0.554
50,1.25,0.5,14,25,40,9,20,14,70,0,0,-1.711,-0.876,-4.04,-4.7,41.5,135,0.522
50,1.0,0.5,14,25,40,9,20,14,70,0,0,-1.776,-0.945,-4.01,-4.83,42.0,138,0.527
50,1.5,0.5,14,25,40,9,20,14,70,0,0,-1.847,-0.914,-4.57,-5.12,41.5,135,0.49
